max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,51.5
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,50.8
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,53.6
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,52.9
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,50.9
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,50.4
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,54.5
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,55.2
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,56.9
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,57.0
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,60.8
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,60.1
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,57.0
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,57.0
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,60.2
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,59.8
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,60.5
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,59.8
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,64.4
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,64.7
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,61.2
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,61.5
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,65.3
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,65.1
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,64.8
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,64.8
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,70.3
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,69.3
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,64.9
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,64.8
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,69.9
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,68.6
