max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.196,2.025,2.239,1.952,4.372,21.2
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.171,1.929,2.239,1.952,4.372,21.8
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.183,1.873,2.239,1.952,4.372,23.1
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.311,1.93,2.239,1.952,4.372,22.4
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.196,2.025,2.239,1.952,4.372,21.7
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.171,1.929,2.239,1.952,4.372,21.5
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.183,1.873,2.239,1.952,4.372,22.5
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.311,1.93,2.239,1.952,4.372,22.8
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.181,1.935,2.239,1.952,4.372,21.6
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.102,1.967,2.239,1.952,4.372,23.2
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.201,1.939,2.239,1.952,4.372,23.5
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.157,1.847,2.239,1.952,4.372,25.2
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.181,1.935,2.239,1.952,4.372,21.8
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.102,1.967,2.239,1.952,4.372,23.1
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.201,1.939,2.239,1.952,4.372,23.3
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.157,1.847,2.239,1.952,4.372,25.5
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.126,1.7,2.239,1.952,3.498,24.6
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.08,1.892,2.239,1.952,3.498,24.5
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.176,1.872,2.239,1.952,5.247,25.1
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.219,1.935,2.239,1.952,5.247,27.9
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.126,1.7,2.239,1.952,3.498,23.9
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.08,1.892,2.239,1.952,3.498,24.0
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.176,1.872,2.239,1.952,5.247,25.3
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.219,1.935,2.239,1.952,5.247,25.8
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.087,1.785,2.239,1.952,12.243,24.5
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.207,1.804,2.239,1.952,11.368,25.6
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.154,1.858,2.239,1.952,12.243,27.8
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.248,1.701,2.239,1.952,4.372,27.9
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.087,1.785,2.239,1.952,12.243,28.1
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.207,1.804,2.239,1.952,11.368,25.6
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.154,1.858,2.239,1.952,12.243,26.8
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.248,1.701,2.239,1.952,4.372,28.7
