max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.838,1.113,2.303,1.505,5.296,95.9
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.854,1.125,2.303,1.505,6.178,98.4
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.844,1.17,2.303,1.505,4.413,104.1
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.896,1.405,2.303,1.505,7.944,112.9
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.838,1.113,2.303,1.505,5.296,93.4
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.854,1.125,2.303,1.505,6.178,97.3
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.844,1.17,2.303,1.505,4.413,104.7
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.896,1.405,2.303,1.505,7.944,111.5
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.903,0.99,2.303,1.505,11.474,96.5
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.871,1.047,2.303,1.505,11.474,104.5
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.837,1.15,2.303,1.505,4.413,112.3
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.775,1.409,2.303,1.505,9.709,122.4
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.903,0.99,2.303,1.505,11.474,98.8
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.871,1.047,2.303,1.505,11.474,105.3
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.837,1.15,2.303,1.505,4.413,113.7
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.775,1.409,2.303,1.505,9.709,126.7
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.824,1.185,2.303,1.505,10.592,775.2
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.84,1.057,2.303,1.505,13.24,8384.5
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.785,1.326,2.303,1.505,9.709,119.0
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.793,1.253,2.303,1.505,14.122,128.5
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.824,1.185,2.303,1.505,10.592,99.6
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.84,1.057,2.303,1.505,13.24,107.6
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.785,1.326,2.303,1.505,9.709,115.3
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.793,1.253,2.303,1.505,14.122,128.8
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.868,1.238,2.303,1.505,6.178,104.2
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.831,1.267,2.303,1.505,16.77,112.4
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.846,1.257,2.303,1.505,6.178,122.8
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.866,1.218,2.303,1.505,15.887,138.0
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.868,1.238,2.303,1.505,6.178,104.7
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.831,1.267,2.303,1.505,16.77,114.1
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.846,1.257,2.303,1.505,6.178,124.2
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.866,1.218,2.303,1.505,15.887,139.1
