max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.69,1.098,2.406,2.76,8.957,3.6
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.374,0.438,2.406,2.76,3.583,3.1
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.739,0.921,2.406,2.76,7.166,3.2
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.444,0.288,2.406,2.76,3.583,3.3
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.71,1.128,2.406,2.76,8.957,3.1
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.443,0.283,2.406,2.76,3.583,3.1
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.785,0.933,2.406,2.76,3.583,3.2
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.522,0.219,2.406,2.76,3.583,3.5
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.934,1.495,2.406,2.76,4.479,3.3
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.742,1.534,2.406,2.76,4.479,3.3
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.002,1.39,2.406,2.76,4.479,3.5
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.786,1.711,2.406,2.76,4.479,3.6
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.947,1.313,2.406,2.76,3.583,3.3
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.792,1.733,2.406,2.76,4.479,3.3
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.065,1.697,2.406,2.76,4.479,3.5
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.893,1.419,2.406,2.76,4.479,3.4
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.752,1.428,2.406,2.76,14.332,3.5
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.676,0.655,2.406,2.76,14.332,3.4
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.8,1.853,2.406,2.76,15.227,3.6
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.566,1.312,2.406,2.76,14.332,3.8
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.762,1.491,2.406,2.76,14.332,3.4
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.752,1.139,2.406,2.76,14.332,3.5
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.852,1.848,2.406,2.76,15.227,3.6
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.659,1.974,2.406,2.76,14.332,3.8
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.198,0.974,2.406,2.76,3.583,3.6
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.885,1.234,2.406,2.76,3.583,3.6
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.754,1.464,2.406,2.76,3.583,3.9
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.447,1.11,2.406,2.76,3.583,4.1
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.186,0.936,2.406,2.76,3.583,3.7
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.878,1.141,2.406,2.76,3.583,3.6
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.771,1.484,2.406,2.76,3.583,3.9
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.476,0.826,2.406,2.76,3.583,4.0
